text,time,label
"Following biochar's recognition in the IPCC 2018 report, earlier this year Redmile-Gordon launched the society's first trials to see how the material could improve plant growth. He estimates planting 10-20kg of biochar in your garden could offset the carbon from a five-mile return commute in a car for a month. Biochar is a form of charcoal produced when organic matter – for example wood, leaves or dead plants – is heated at high temperatures with little or no oxygen in a process called pyrolysis. The normal burning or decomposition of these materials would release large amounts of methane and carbon dioxide into the atmosphere. Instead, creating biochar traps this carbon in solid form for centuries; it becomes a carbon sink that can be buried underground.",2020-03-28T17:59:59.000Z,included
"Richard Lewis, the outgoing chief executive of Wimbledon, hopes tennis can be ""off and running again"" by August, when the US Open is scheduled to begin, although he admits there may be ""no more tennis this year"". Speaking the day after the All England Club finally cancelled the championships for the first time since the second world war, Lewis acknowledged that uncertainty has gripped tennis because of the continued spread of coronavirus.",2020-05-21T21:59:59.000Z,included
"The flight represents a breakthrough in ""ionic wind"" technology, which uses a powerful electric field to generate charged nitrogen ions, which are then expelled from the back of the aircraft, generating thrust. Steven Barrett, an aeronautics professor at MIT and the lead author of the study published in the journal Nature, said the inspiration for the project came straight from the science fiction of his childhood. ""I was a big fan of Star Trek, and at that point I thought that the future looked like it should be planes that fly silently, with no moving parts – and maybe have a blue glow.""",2020-06-11T08:59:59.000Z,included
"Despite the benign assessment of the medical establishment, Dr. Curry's flawed reports were amplified by alarmist websites, prompted articles linking cellphones to brain cancer and served as evidence in lawsuits urging the removal of wireless classroom technology. In time, echoes of his reports fed Russian news sites noted for stoking misinformation about 5G technology. What began as a simple graph became a case study in how bad science can take root and flourish. ""I still think there are health effects,"" Dr. Curry said in an interview. ""The federal government needs to look at it more closely.""",2020-06-19T15:59:59.000Z,included
"Twitch is also relaunching its twitchsports channel today to highlight broadcasts and programming. The relaunch includes a showcase today, hosted by Major League Soccer star Jimmy Conrad, that will cover the NBA, UFC, Arsenal, and House of Highlights using two-hour slots to demonstrate the type of sports content Twitch has to offer.",2020-07-09T17:59:59.000Z,included
"Public health investigators asked people what they'd eaten, and 79 percent said they'd had romaine - both at restaurants, and at home. So far, no one knows whether there's a common link. E. coli naturally hangs out in animal intestines, and one of the grossest ways it spreads is through poop. Produce can become contaminated if poop-tainted water gets into the field where it's grown, or if the produce comes into contact with contaminated surfaces during harvest, shipping, or at the store.",2020-07-16T19:59:59.000Z,included
"It seems every year there is huge growth in women's sport. Each new year brings bigger crowd figures, new competitions, increased television coverage and new records being set. But as the nation took to social media to share in the emotion of Phillips' anterior cruciate ligament injury, it was clear there was another, less quantifiable, factor at play. Earlier this month, journalist Isabelle Westbury faced backlash on Twitter when she was critical of the criteria for Britain's Sports Personality of the Year award.",2020-07-24T15:59:59.000Z,included
"Though the Nets had just been eliminated by the Atlanta Hawks in the first round of the playoffs, they had overachieved and shown some promise for the future. And Phil Jackson had become the Knicks president the year before, bringing his triangle offense and a coaching résumé that included 11 N.B.A. titles to Manhattan. Little did New York fans know that it would be four dreadful years before playoff basketball would return to the city. It finally will on Thursday night, when the Nets host the Philadelphia 76ers in a series tied at one all. While there has been no playoff basketball in the city in the interim, much has happened in those four years. And for Knicks and Nets fans, not much of it has been good.",2020-08-15T19:59:59.000Z,included
"The flight represents a breakthrough in ""ionic wind"" technology, which uses a powerful electric field to generate charged nitrogen ions, which are then expelled from the back of the aircraft, generating thrust. Steven Barrett, an aeronautics professor at MIT and the lead author of the study published in the journal Nature, said the inspiration for the project came straight from the science fiction of his childhood. ""I was a big fan of Star Trek, and at that point I thought that the future looked like it should be planes that fly silently, with no moving parts – and maybe have a blue glow.""",2020-09-04T05:59:59.000Z,included
"The outcome in Brussels today signals a tough road ahead to secure commitments on climate action not only from European nations, but from other big polluters as well. New president of the European Commission Ursula von der Leyen just released the EU's Green Deal on December 11, a sweeping package of policy proposals aimed at drastically reducing emissions by 2050. Her announcement followed the November declaration by the European Parliament of a ""climate emergency"" - a phrase that activists with Greenpeace hung from the building where the Council met in Brussels.",2020-09-13T05:59:59.000Z,included
"Dr. Fauci and Dr. Birx showed charts indicating that coronavirus cases in New York and New Jersey had risen far higher than in other parts of the country, a fact that they said gave them hope that the overall number of deaths might be lower if people in the rest of the states followed the guidelines for at least the next month. Mr. Trump displayed none of the carefree dismissiveness that characterized his reaction to the virus in February and early March, when he repeatedly said that ""we have it totally under control"" and that ""it's going to be just fine.""",2020-09-16T20:59:59.000Z,questionable
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2020-09-16T20:59:59.000Z,included
"The government's Office of National Statistics released figures indicating that deaths could be at least 10 percent higher than the official toll - 12,107 as of Tuesday - which does not take into account many people who die in nursing homes or at home. More than 2,000 nursing homes, about 13 percent of the country's total, have had coronavirus cases, said Dr. Chris Whitty, the government's chief medical adviser. Workers in many of the homes have complained of an acute shortage of protective gear. Care England, a charity representing independent care agencies, has estimated that nearly 1,000 Covid-19 deaths in nursing homes have gone uncounted. Two major home operators have reported 521 deaths in recent days, many of which are not yet included in official totals.",2020-09-17T23:59:59.000Z,included
"Closest in tone to Game of Thrones' dirty and pitiless fantasy, The Witcher 3 is a truly superb fantasy game as full of sex, dirty tricksters and political betrayal as any Thrones fan could wish for, with a more generous dose of fantasy creatures. You play as a monster-hunting outcast, Geralt, caught up in a rulers' war. Interestingly, The Witcher lets you see the impact that the egotistical nobles' struggles actually have on the people forced to live under them, rather than casting you as the hero who rides in on a white horse. Its characters and writing are excellent, and the socio-political intrigue will be irresistible to anyone who appreciates GoT's tangled webs of houses and rivalries.",2020-09-19T18:59:59.000Z,included
